"Severity","Message"
"Success","Collected information about all the volumes on Vserver : thunderSVM052DR"
"Success","Collected information about the Vserver : thunderSVM053DR "
"Success","Collected information about all the shares on Vserver : thunderSVM053DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM053DR"
"Success","Collected information about the Vserver : thunderSVM055DR "
"Success","Collected information about all the shares on Vserver : thunderSVM055DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM055DR"
"Success","Collected information about the Vserver : thunderSVM058DR "
"Success","Collected information about all the shares on Vserver : thunderSVM058DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM058DR"
"Success","Collected information about the Vserver : thunderSVM060DR "
"Success","Collected information about all the shares on Vserver : thunderSVM060DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM060DR"
"Success","Collected information about the Vserver : thunderSVM061DR "
"Success","Collected information about all the shares on Vserver : thunderSVM061DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM061DR"
"Success","Collected information about the Vserver : thunderSVM062DR "
"Success","Collected information about all the shares on Vserver : thunderSVM062DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM062DR"
"Success","Collected information about the Vserver : thunderSVM063DR "
"Success","Collected information about all the shares on Vserver : thunderSVM063DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM063DR"
"Success","Collected information about the Vserver : thunderSVM064DR "
"Success","Collected information about all the shares on Vserver : thunderSVM064DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM064DR"
"Success","Collected information about the Vserver : thunderSVM065DR "
"Success","Collected information about all the shares on Vserver : thunderSVM065DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM065DR"
"Success","Collected information about the Vserver : thunderSVM067DR "
"Success","Collected information about all the shares on Vserver : thunderSVM067DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM067DR"
"Success","Collected information about the Vserver : thunderSVM068DR "
"Success","Collected information about all the shares on Vserver : thunderSVM068DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM068DR"
"Success","Collected information about the Vserver : thunderSVM069DR "
"Success","Collected information about all the shares on Vserver : thunderSVM069DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM069DR"
"Success","Collected information about the Vserver : thunderSVM073DR "
"Success","Collected information about all the shares on Vserver : thunderSVM073DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM073DR"
"Success","Collected information about the Vserver : thunderSVM074DR "
"Success","Collected information about all the shares on Vserver : thunderSVM074DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM074DR"
"Success","Collected information about the Vserver : thunderSVM075DR "
"Success","Collected information about all the shares on Vserver : thunderSVM075DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM075DR"
"Success","Collected information about the Vserver : thunderSVM080DR "
"Success","Collected information about all the shares on Vserver : thunderSVM080DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM080DR"
"Success","Collected information about the Vserver : thunderSVM081DR "
"Success","Collected information about all the shares on Vserver : thunderSVM081DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM081DR"
"Success","Collected information about the Vserver : thunderSVM082DR "
"Success","Collected information about all the shares on Vserver : thunderSVM082DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM082DR"
"Success","Collected information about the Vserver : thunderSVM086DR "
"Success","Collected information about all the shares on Vserver : thunderSVM086DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM086DR"
"Success","Collected information about the Vserver : thunderSVM087DR "
"Success","Collected information about all the shares on Vserver : thunderSVM087DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM087DR"
"Success","Collected information about the Vserver : thunderSVM088DR "
"Success","Collected information about all the shares on Vserver : thunderSVM088DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM088DR"
"Success","Collected information about the Vserver : thunderSVM092DR "
"Success","Collected information about all the shares on Vserver : thunderSVM092DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM092DR"
"Success","Collected information about the Vserver : thunderSVM093DR "
"Success","Collected information about all the shares on Vserver : thunderSVM093DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM093DR"
"Success","Collected information about the Vserver : thunderSVM094DR "
"Success","Collected information about all the shares on Vserver : thunderSVM094DR"
"Success","Collected information about all the volumes on Vserver : thunderSVM094DR"
"Information","Data Collection for snowy Completed Successfully"
"Information","*** Collate NetApp Volume/Share Utilization details in output file "
"Success","FINISHED collecting NetApp Volume/Share Utilization details for cluster : snowy "
"Information","*** Sending Email "
"Success","*** Email Sent "
