"clusterName","Location","cifsServerName","cifsShareName","cifsSharePath","cifsShareComments","hostingVolume","hostingVolumeUsedSize(GB)"
"thunder","Brisbane","thunderSVM066","Deskbank","/thunderSVM066_vol001/Groupdata/AppData/Deskbank",,"thunderSVM066_vol001","90146"
"thunder","Brisbane","AU2106NT0050","BTFIN_Test_Share","/AU2106NT0050_BTFINTest",,"AU2106NT0050_BTFINTest","456"
"thunder","Brisbane","thunderSVM065","Powerbuilder","/thunderSVM065_vol002/legacydata1/Powerbuilder",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","AU2106NT0050","SVP1","/AU2106NT0050_vol003/GroupData/SVP1",,"AU2106NT0050_vol003","216"
"thunder","Brisbane","thunderSVM063","Profiles2","/thunderSVM063_vol004/profiles2",,"thunderSVM063_vol004","1138"
"thunder","Brisbane","thunderSVM055","CorpITHomeU106Link6","/thunderSVM055_vol001/CorpITHomeU106Link6",,"thunderSVM055_vol001","47604"
"thunder","Brisbane","AU2106NT0050","RetailHomeU106Link6","/vol/AU2106NT0050_vol001/RetailHomeU106Link6",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM060","BAS","/thunderSVM060_vol001/Groupdata/Pinnacle",,"thunderSVM060_vol001","30879"
"thunder","Brisbane","thunderSVM065","Employee Services","/thunderSVM065_vol007/groupdata/Employee Services",,"thunderSVM065_vol007","44672"
"thunder","Brisbane","thunderSVM065","prodmgt","/thunderSVM065_vol006/legacydata5/prodmgt",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","thunderSVM065","strategy","/thunderSVM065_vol003/legacydata2/strategy",,"thunderSVM065_vol003","50460"
"thunder","Brisbane","AU2106NT0050","SOVR","/AU2106NT0050_SOVR",,"AU2106NT0050_SOVR","0"
"thunder","Brisbane","thunderSVM065","corp","/thunderSVM065_vol006/legacydata5/corp",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","thunderSVM088","np0005_home1","/thunderSVM088_vol002",,"thunderSVM088_vol002","18"
"thunder","Brisbane","thunderSVM065","Ifs","/thunderSVM065_vol002/legacydata1/Ifs",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","thunderSVM064","Home1","/thunderSVM064_vol001/home1",,"thunderSVM064_vol001","8437"
"thunder","Brisbane","AU2106NT0050","RetailProfileU104Link3","/vol/AU2106NT0050_vol001/RetailProfileU104Link3",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM055","ESS EA Job","/thunderSVM055_vol002/GroupData/ESS EA Job Share drive",,"thunderSVM055_vol002","944"
"thunder","Brisbane","thunderSVM082","thunderSVM082_vol001","/thunderSVM082_vol001",,"thunderSVM082_vol001","34"
"thunder","Brisbane","thunderSVM066","np0006_home2","/thunderSVM066_vol004",,"thunderSVM066_vol004","705"
"thunder","Brisbane","thunderSVM065","CIOnline","/thunderSVM065_vol002/legacydata1/CIOnline",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","thunderSVM065","public2","/thunderSVM065_vol004/legacydata3/public2",,"thunderSVM065_vol004","9727"
"thunder","Brisbane","AU2106NT0050","RetailProfileU104Link9","/vol/AU2106NT0050_vol001/RetailProfileU104Link9",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","AU2106NT0050","CorpITHomeU106Link6","/vol/AU2106NT0050_vol001/CorpITHomeU106Link6",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM065","DIRentry","/thunderSVM065_vol002/legacydata1/DIRentry",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","AU2106NT0050","CENPR1_secure","/AU2106NT0050_CENPR1",,"AU2106NT0050_CENPR1","2"
"thunder","Brisbane","thunderSVM101","np0011_profiles2_sv","/np0011_profiles2_sv",,"np0011_profiles2_sv",
"thunder","Brisbane","thunderSVM065","CBSA","/thunderSVM065_vol002/legacydata1/CBSA",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","AU2106NT0050","AU2106NT0050_vol005","/AU2106NT0050_vol005",,"AU2106NT0050_vol005","65"
"thunder","Brisbane","thunderSVM053","GroupOperationsHomeU106Link8","/vol/thunderSVM053_vol001/GroupOperationsHomeU106Link8",,"thunderSVM053_vol001","7143"
"thunder","Brisbane","thunderSVM087","NWTEFOPS","/thunderSVM087_vol002/anw00res001",,"thunderSVM087_vol002","205"
"thunder","Brisbane","thunderSVM052","ContactCentresHomeU106Link0","/vol/thunderSVM052_vol001/ContactCentresHomeU106Link0",,"thunderSVM052_vol001","694"
"thunder","Brisbane","AU2106NT0050","HS_001","/AU2106NT0050_HS_001",,"AU2106NT0050_HS_001","241"
"thunder","Brisbane","AU2106NT0050","RetailProfileU106Link2","/vol/AU2106NT0050_vol001/RetailProfileU106Link2",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM055","DigitalCustomerIntelligence","/thunderSVM055_vol002/GroupData/DigitalCustomerIntelligence",,"thunderSVM055_vol002","944"
"thunder","Brisbane","AU2106NT0050","Qlikview","/AU2106NT0050_Qlikview",,"AU2106NT0050_Qlikview","933"
"thunder","Brisbane","thunderSVM066","MMD","/thunderSVM066_vol001/Groupdata/MMD",,"thunderSVM066_vol001","90146"
"thunder","Brisbane","thunderSVM101","np0003_home1_sv","/np0003_home1_sv",,"np0003_home1_sv","548"
"thunder","Brisbane","thunderSVM065","Careers","/thunderSVM065_vol003/legacydata2/Careers",,"thunderSVM065_vol003","50460"
"thunder","Brisbane","AU2106NT0050","DEV_DigiDash_Sync","/AU2106NT0050_TM1/DEV_DigiDash_Sync",,"AU2106NT0050_TM1","397"
"thunder","Brisbane","thunderSVM063","Profiles1","/thunderSVM063_vol003/profiles1",,"thunderSVM063_vol003","1084"
"thunder","Brisbane","thunderSVM066","np0006_group1_dr","/thunderSVM066_vol001",,"thunderSVM066_vol001","90146"
"thunder","Brisbane","thunderSVM065","LEGAL","/thunderSVM065_vol003/legacydata2/LEGAL",,"thunderSVM065_vol003","50460"
"thunder","Brisbane","AU2106NT0050","CorpITHomeU104Link9","/vol/AU2106NT0050_vol001/CorpITHomeU104Link9",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM065","DELHI_Equity","/thunderSVM065_vol005/legacydata4/DELHI_Equity",,"thunderSVM065_vol005","13486"
"thunder","Brisbane","thunderSVM101","np0019_home1_sv","/np0019_home1_sv",,"np0019_home1_sv","2456"
"thunder","Brisbane","thunderSVM065","HR Shared Services","/thunderSVM065_vol002/legacydata1/HR SHARED SERVICES",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","thunderSVM100","np0024_group6_sv_vault","/np0024_group6_sv_Do_Not_Delete_INC/vault",,"np0024_group6_sv_Do_Not_Delete_INC","7448"
"thunder","Brisbane","AU2106NT0050","Sales&ServiceProfileU104Link9","/vol/AU2106NT0050_vol001/Sales&ServiceProfileU104Link9",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM065","Operational Risk & Compliance BFS","/thunderSVM065_vol007/groupdata/Operational Risk & Compliance BFS",,"thunderSVM065_vol007","44672"
"thunder","Brisbane","thunderSVM066","Groupdata","/thunderSVM066_vol001/Groupdata",,"thunderSVM066_vol001","90146"
"thunder","Brisbane","thunderSVM065","WIBPlanGrp","/thunderSVM065_vol006/legacydata5/WIBPlanGrp",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","AU2106NT0050","RetailProfileU104Link5","/vol/AU2106NT0050_vol001/RetailProfileU104Link5",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","AU2106NT0050","ContactCentresProfileU104Link7","/vol/AU2106NT0050_vol001/ContactCentresProfileU104Link7",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM066","ForNetBean","/thunderSVM066_vol001/Groupdata/ForNetBean",,"thunderSVM066_vol001","90146"
"thunder","Brisbane","AU2106NT0050","BCM_MAIN","/AU2106NT0050_vol003/groupdata/Corporate/BCM_MAIN",,"AU2106NT0050_vol003","216"
"thunder","Brisbane","thunderSVM101","np0024_group3_sv","/np0024_group3_sv_Do_Not_Delete_INC",,"np0024_group3_sv_Do_Not_Delete_INC","5421"
"thunder","Brisbane","thunderSVM065","LegacyData5","/thunderSVM065_vol006/legacydata5",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","thunderSVM063","np0021_profiles1","/thunderSVM063_vol003",,"thunderSVM063_vol003","1084"
"thunder","Brisbane","thunderSVM063","np0021_home1_dr","/thunderSVM063_vol001",,"thunderSVM063_vol001","25744"
"thunder","Brisbane","thunderSVM062","Webtop2B","/thunderSVM062_vol001/legacydata1/Webtop2B",,"thunderSVM062_vol001","265"
"thunder","Brisbane","AU2106NT0050","sc","/AU2106NT0050_vol005/GroupData/sc",,"AU2106NT0050_vol005","65"
"thunder","Brisbane","thunderSVM065","BCB Planning & Impact","/thunderSVM065_vol002/legacydata1/BCB Planning & Impact",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","thunderSVM094","RetailSTG_AU","/thunderSVM094_vol003",,"thunderSVM094_vol003","2"
"thunder","Brisbane","thunderSVM065","legal-pfg","/thunderSVM065_vol002/legacydata1/legal-pfg",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","AU2106NT0050","ContactCentresHomeU106Link4","/vol/AU2106NT0050_vol001/ContactCentresHomeU106Link4",,"AU2106NT0050_vol001","11"
